cat1,cat2,U,p_raw,p_corrected,significant
Action,Affective,5549.5,0.158772811320945,0.63509124528378,False
Action,Social,2840.5,4.91352434129471e-08,5.896229209553652e-07,True
Action,Indoor,4775.0,0.5664075733159966,1.0,False
Action,OutdoorManMade,5516.5,0.18363063149678815,0.63509124528378,False
Action,OutdoorNatural,6414.5,0.00023567465900722868,0.002121071931065058,True
Affective,Social,2392.5,4.788520705230201e-11,6.225076916799262e-10,True
Affective,Indoor,4222.0,0.046365089563765824,0.2781905373825949,False
Affective,OutdoorManMade,4934.0,0.8652089137069369,1.0,False
Affective,OutdoorNatural,5855.5,0.02438355288570382,0.17068487019992673,False
Social,Indoor,6984.5,5.133177640703057e-07,5.646495404773363e-06,True
Social,OutdoorManMade,7676.0,1.2758712814553672e-11,1.7862197940375142e-10,True
Social,OutdoorNatural,8346.0,2.652802604145462e-17,3.979203906218193e-16,True
Indoor,OutdoorManMade,5761.0,0.05030323160648368,0.2781905373825949,False
Indoor,OutdoorNatural,6652.0,1.8839229306270156e-05,0.00018839229306270156,True
OutdoorManMade,OutdoorNatural,5972.5,0.010497565431068976,0.08398052344855181,False
